Dataset,Group,Subject,Hemisphere,Region,Thickness,Bregma
Imaging,Control,2,Left,anterior,1.73,-0.3
Imaging,Control,3,Left,anterior,1.76,-0.3
Imaging,Control,4,Left,anterior,1.61,-0.3
Imaging,Control,9,Left,anterior,1.72,-0.3
Imaging,Control,10,Left,anterior,1.60,-0.3
Imaging,Control,11,Left,anterior,1.53,-0.3
Imaging,Control,12,Left,anterior,1.54,-0.3
Imaging,Control,13,Left,anterior,1.81,-0.3
Imaging,Control,15,Left,anterior,1.67,-0.3
Imaging,Control,21,Left,anterior,1.69,-0.3
Imaging,AIE,33,Left,anterior,1.78,-0.3
Imaging,AIE,34,Left,anterior,1.65,-0.3
Imaging,AIE,35,Left,anterior,1.71,-0.3
Imaging,AIE,37,Left,anterior,1.81,-0.3
Imaging,AIE,38,Left,anterior,1.72,-0.3
Imaging,AIE,39,Left,anterior,1.71,-0.3
Imaging,AIE,40,Left,anterior,1.79,-0.3
Imaging,AIE,43,Left,anterior,1.75,-0.3
Imaging,AIE,45,Left,anterior,1.71,-0.3
Imaging,AIE,46,Left,anterior,1.74,-0.3
Imaging,Control,2,Left,posterior,1.39,-2.12
Imaging,Control,3,Left,posterior,1.39,-2.12
Imaging,Control,4,Left,posterior,1.30,-2.12
Imaging,Control,9,Left,posterior,1.37,-2.12
Imaging,Control,10,Left,posterior,1.33,-2.12
Imaging,Control,11,Left,posterior,1.34,-2.12
Imaging,Control,12,Left,posterior,1.30,-2.12
Imaging,Control,13,Left,posterior,1.55,-2.12
Imaging,Control,15,Left,posterior,1.39,-2.12
Imaging,Control,21,Left,posterior,1.40,-2.12
Imaging,AIE,33,Left,posterior,1.45,-2.12
Imaging,AIE,34,Left,posterior,1.33,-2.12
Imaging,AIE,35,Left,posterior,1.37,-2.12
Imaging,AIE,37,Left,posterior,1.43,-2.12
Imaging,AIE,38,Left,posterior,1.36,-2.12
Imaging,AIE,39,Left,posterior,1.36,-2.12
Imaging,AIE,40,Left,posterior,1.43,-2.12
Imaging,AIE,43,Left,posterior,1.40,-2.12
Imaging,AIE,45,Left,posterior,1.41,-2.12
Imaging,AIE,46,Left,posterior,1.41,-2.12
Tissue,Control,2,Left,anterior,2.66,-0.3
Tissue,Control,3,Left,anterior,2.53,-0.3
Tissue,Control,4,Left,anterior,2.53,-0.3
Tissue,Control,9,Left,anterior,NA,-0.3
Tissue,Control,10,Left,anterior,2.30,-0.3
Tissue,Control,11,Left,anterior,2.40,-0.3
Tissue,Control,12,Left,anterior,2.39,-0.3
Tissue,Control,13,Left,anterior,NA,-0.3
Tissue,Control,15,Left,anterior,2.55,-0.3
Tissue,Control,21,Left,anterior,2.68,-0.3
Tissue,Control,2,Right,anterior,2.57,-0.3
Tissue,Control,3,Right,anterior,2.51,-0.3
Tissue,Control,4,Right,anterior,2.60,-0.3
Tissue,Control,9,Right,anterior,NA,-0.3
Tissue,Control,10,Right,anterior,2.45,-0.3
Tissue,Control,11,Right,anterior,2.42,-0.3
Tissue,Control,12,Right,anterior,2.49,-0.3
Tissue,Control,13,Right,anterior,NA,-0.3
Tissue,Control,15,Right,anterior,2.71,-0.3
Tissue,Control,21,Right,anterior,2.83,-0.3
Tissue,Control,2,Left,anterior,2.60,-0.4
Tissue,Control,3,Left,anterior,NA,-0.4
Tissue,Control,4,Left,anterior,2.40,-0.4
Tissue,Control,9,Left,anterior,2.66,-0.4
Tissue,Control,10,Left,anterior,2.31,-0.4
Tissue,Control,11,Left,anterior,NA,-0.4
Tissue,Control,12,Left,anterior,2.35,-0.4
Tissue,Control,13,Left,anterior,NA,-0.4
Tissue,Control,15,Left,anterior,NA,-0.4
Tissue,Control,21,Left,anterior,2.66,-0.4
Tissue,Control,2,Right,anterior,2.61,-0.4
Tissue,Control,3,Right,anterior,NA,-0.4
Tissue,Control,4,Right,anterior,2.43,-0.4
Tissue,Control,9,Right,anterior,2.71,-0.4
Tissue,Control,10,Right,anterior,2.43,-0.4
Tissue,Control,11,Right,anterior,NA,-0.4
Tissue,Control,12,Right,anterior,2.52,-0.4
Tissue,Control,13,Right,anterior,NA,-0.4
Tissue,Control,15,Right,anterior,NA,-0.4
Tissue,Control,21,Right,anterior,2.53,-0.4
Tissue,Control,2,Left,anterior,2.45,-0.8
Tissue,Control,3,Left,anterior,2.45,-0.8
Tissue,Control,4,Left,anterior,NA,-0.8
Tissue,Control,9,Left,anterior,2.46,-0.8
Tissue,Control,10,Left,anterior,2.33,-0.8
Tissue,Control,11,Left,anterior,2.40,-0.8
Tissue,Control,12,Left,anterior,NA,-0.8
Tissue,Control,13,Left,anterior,2.61,-0.8
Tissue,Control,15,Left,anterior,NA,-0.8
Tissue,Control,21,Left,anterior,2.49,-0.8
Tissue,Control,2,Right,anterior,2.48,-0.8
Tissue,Control,3,Right,anterior,2.47,-0.8
Tissue,Control,4,Right,anterior,NA,-0.8
Tissue,Control,9,Right,anterior,2.52,-0.8
Tissue,Control,10,Right,anterior,2.24,-0.8
Tissue,Control,11,Right,anterior,2.15,-0.8
Tissue,Control,12,Right,anterior,NA,-0.8
Tissue,Control,13,Right,anterior,2.66,-0.8
Tissue,Control,15,Right,anterior,NA,-0.8
Tissue,Control,21,Right,anterior,NA,-0.8
Tissue,Control,2,Left,middle,2.58,-0.92
Tissue,Control,3,Left,middle,2.34,-0.92
Tissue,Control,4,Left,middle,2.31,-0.92
Tissue,Control,9,Left,middle,2.00,-0.92
Tissue,Control,10,Left,middle,2.18,-0.92
Tissue,Control,11,Left,middle,NA,-0.92
Tissue,Control,12,Left,middle,NA,-0.92
Tissue,Control,13,Left,middle,2.59,-0.92
Tissue,Control,15,Left,middle,2.43,-0.92
Tissue,Control,21,Left,middle,NA,-0.92
Tissue,Control,2,Right,middle,2.39,-0.92
Tissue,Control,3,Right,middle,2.29,-0.92
Tissue,Control,4,Right,middle,NA,-0.92
Tissue,Control,9,Right,middle,2.34,-0.92
Tissue,Control,10,Right,middle,2.19,-0.92
Tissue,Control,11,Right,middle,NA,-0.92
Tissue,Control,12,Right,middle,NA,-0.92
Tissue,Control,13,Right,middle,2.60,-0.92
Tissue,Control,15,Right,middle,2.51,-0.92
Tissue,Control,21,Right,middle,2.57,-0.92
Tissue,Control,2,Left,posterior,NA,-1.4
Tissue,Control,3,Left,posterior,2.22,-1.4
Tissue,Control,4,Left,posterior,2.24,-1.4
Tissue,Control,9,Left,posterior,2.43,-1.4
Tissue,Control,10,Left,posterior,NA,-1.4
Tissue,Control,11,Left,posterior,2.11,-1.4
Tissue,Control,12,Left,posterior,NA,-1.4
Tissue,Control,13,Left,posterior,2.54,-1.4
Tissue,Control,15,Left,posterior,2.40,-1.4
Tissue,Control,21,Left,posterior,2.55,-1.4
Tissue,Control,2,Right,posterior,NA,-1.4
Tissue,Control,3,Right,posterior,2.13,-1.4
Tissue,Control,4,Right,posterior,2.23,-1.4
Tissue,Control,9,Right,posterior,2.37,-1.4
Tissue,Control,10,Right,posterior,NA,-1.4
Tissue,Control,11,Right,posterior,2.08,-1.4
Tissue,Control,12,Right,posterior,NA,-1.4
Tissue,Control,13,Right,posterior,2.58,-1.4
Tissue,Control,15,Right,posterior,2.39,-1.4
Tissue,Control,21,Right,posterior,2.45,-1.4
Tissue,Control,2,Left,posterior,2.23,-1.8
Tissue,Control,3,Left,posterior,2.21,-1.8
Tissue,Control,4,Left,posterior,2.11,-1.8
Tissue,Control,9,Left,posterior,2.24,-1.8
Tissue,Control,10,Left,posterior,NA,-1.8
Tissue,Control,11,Left,posterior,2.10,-1.8
Tissue,Control,12,Left,posterior,2.23,-1.8
Tissue,Control,13,Left,posterior,2.35,-1.8
Tissue,Control,15,Left,posterior,2.27,-1.8
Tissue,Control,21,Left,posterior,2.36,-1.8
Tissue,Control,2,Right,posterior,2.31,-1.8
Tissue,Control,3,Right,posterior,2.16,-1.8
Tissue,Control,4,Right,posterior,2.05,-1.8
Tissue,Control,9,Right,posterior,2.33,-1.8
Tissue,Control,10,Right,posterior,NA,-1.8
Tissue,Control,11,Right,posterior,NA,-1.8
Tissue,Control,12,Right,posterior,2.25,-1.8
Tissue,Control,13,Right,posterior,2.30,-1.8
Tissue,Control,15,Right,posterior,NA,-1.8
Tissue,Control,21,Right,posterior,2.33,-1.8
Tissue,Control,2,Left,posterior,2.25,-2.12
Tissue,Control,3,Left,posterior,1.96,-2.12
Tissue,Control,4,Left,posterior,2.07,-2.12
Tissue,Control,9,Left,posterior,NA,-2.12
Tissue,Control,10,Left,posterior,2.16,-2.12
Tissue,Control,11,Left,posterior,2.07,-2.12
Tissue,Control,12,Left,posterior,2.10,-2.12
Tissue,Control,13,Left,posterior,2.11,-2.12
Tissue,Control,15,Left,posterior,NA,-2.12
Tissue,Control,21,Left,posterior,NA,-2.12
Tissue,Control,2,Right,posterior,2.13,-2.12
Tissue,Control,3,Right,posterior,2.08,-2.12
Tissue,Control,4,Right,posterior,2.15,-2.12
Tissue,Control,9,Right,posterior,NA,-2.12
Tissue,Control,10,Right,posterior,2.08,-2.12
Tissue,Control,11,Right,posterior,2.05,-2.12
Tissue,Control,12,Right,posterior,2.17,-2.12
Tissue,Control,13,Right,posterior,2.24,-2.12
Tissue,Control,15,Right,posterior,NA,-2.12
Tissue,Control,21,Right,posterior,NA,-2.12
Tissue,AIE,33,Left,anterior,2.72,-0.3
Tissue,AIE,34,Left,anterior,2.65,-0.3
Tissue,AIE,35,Left,anterior,NA,-0.3
Tissue,AIE,37,Left,anterior,2.72,-0.3
Tissue,AIE,38,Left,anterior,2.64,-0.3
Tissue,AIE,39,Left,anterior,2.68,-0.3
Tissue,AIE,40,Left,anterior,NA,-0.3
Tissue,AIE,43,Left,anterior,2.86,-0.3
Tissue,AIE,45,Left,anterior,2.64,-0.3
Tissue,AIE,46,Left,anterior,NA,-0.3
Tissue,AIE,33,Right,anterior,2.66,-0.3
Tissue,AIE,34,Right,anterior,2.63,-0.3
Tissue,AIE,35,Right,anterior,NA,-0.3
Tissue,AIE,37,Right,anterior,2.66,-0.3
Tissue,AIE,38,Right,anterior,2.49,-0.3
Tissue,AIE,39,Right,anterior,2.52,-0.3
Tissue,AIE,40,Right,anterior,NA,-0.3
Tissue,AIE,43,Right,anterior,2.74,-0.3
Tissue,AIE,45,Right,anterior,2.74,-0.3
Tissue,AIE,46,Right,anterior,NA,-0.3
Tissue,AIE,33,Left,anterior,2.71,-0.4
Tissue,AIE,34,Left,anterior,2.64,-0.4
Tissue,AIE,35,Left,anterior,NA,-0.4
Tissue,AIE,37,Left,anterior,NA,-0.4
Tissue,AIE,38,Left,anterior,NA,-0.4
Tissue,AIE,39,Left,anterior,2.69,-0.4
Tissue,AIE,40,Left,anterior,2.63,-0.4
Tissue,AIE,43,Left,anterior,2.68,-0.4
Tissue,AIE,45,Left,anterior,2.57,-0.4
Tissue,AIE,46,Left,anterior,NA,-0.4
Tissue,AIE,33,Right,anterior,2.65,-0.4
Tissue,AIE,34,Right,anterior,2.63,-0.4
Tissue,AIE,35,Right,anterior,NA,-0.4
Tissue,AIE,37,Right,anterior,NA,-0.4
Tissue,AIE,38,Right,anterior,NA,-0.4
Tissue,AIE,39,Right,anterior,2.51,-0.4
Tissue,AIE,40,Right,anterior,2.61,-0.4
Tissue,AIE,43,Right,anterior,2.65,-0.4
Tissue,AIE,45,Right,anterior,2.74,-0.4
Tissue,AIE,46,Right,anterior,NA,-0.4
Tissue,AIE,33,Left,anterior,2.42,-0.8
Tissue,AIE,34,Left,anterior,2.64,-0.8
Tissue,AIE,35,Left,anterior,NA,-0.8
Tissue,AIE,37,Left,anterior,2.66,-0.8
Tissue,AIE,38,Left,anterior,NA,-0.8
Tissue,AIE,39,Left,anterior,NA,-0.8
Tissue,AIE,40,Left,anterior,NA,-0.8
Tissue,AIE,43,Left,anterior,NA,-0.8
Tissue,AIE,45,Left,anterior,2.68,-0.8
Tissue,AIE,46,Left,anterior,NA,-0.8
Tissue,AIE,33,Right,anterior,2.48,-0.8
Tissue,AIE,34,Right,anterior,2.59,-0.8
Tissue,AIE,35,Right,anterior,NA,-0.8
Tissue,AIE,37,Right,anterior,2.57,-0.8
Tissue,AIE,38,Right,anterior,NA,-0.8
Tissue,AIE,39,Right,anterior,NA,-0.8
Tissue,AIE,40,Right,anterior,NA,-0.8
Tissue,AIE,43,Right,anterior,NA,-0.8
